,SKOLENHETSKOD,English_avg_score,Math_avg_score,Swedish_avg_score,Swedish_as_a_second_language_avg_score,grand_avg_score,HUVUDMANNATYP,KOMMUNNAMN,SKOLENHETENS NAMN,BESÖKSADRESS,BESÖKSPOSTNR,BESÖKSPOSTORT,WEBB,FKLASS,lon,lat,Google_rating,point,median_kSEK,residual
233,51772207,16.03333333333333,13.5,14.983333333333334,,14.838888888888889,Enskild,Stockholm,Innovitaskolan Södermalm,Vintertullstorget 2,11643,Stockholm,https://innovitaskolan.se/sodermalm/,J,18.0904988,59.30757629999999,2.6,POINT (18.0904988 59.30757629999999),382.4399999999998,0.33095038456024106
234,52064811,14.933333333333332,14.166666666666666,13.65,,14.25,Kommunal,Norrtälje,Skederids skola,Birgittas väg 1,76292,Rimbo,https://www.norrtalje.se/info/barn-och-skola/grundskola/grundskolor/skederids-skola/,J,18.4996747,59.7384405,3.5,POINT (18.4996747 59.7384405),309.8,1.4776646907833815
235,52293921,15.083333333333334,13.266666666666666,12.841666666666669,,13.730555555555556,Kommunal,Vallentuna,Bällstabergsskolan,Svampskogsvägen 28,18655,Vallentuna,http://www.skolor.vallentuna.se/ballstaberg/,J,18.0769509,59.51027200000001,3.8,POINT (18.0769509 59.51027200000001),426.14285714285717,-1.821584745202994
236,52531425,13.225,10.033333333333331,11.25,,11.502777777777778,Kommunal,Tyresö,Stimmets skola,Forellvägen 43,13542,Tyresö,http://www.tyreso.se,J,18.2346607,59.24589,1.5,POINT (18.2346607 59.24589),330.55833333333334,-1.7655408692490528
237,52863414,17.724999999999998,15.033333333333331,15.141666666666666,,15.966666666666669,Kommunal,Stockholm,Vasa Real,Karlbergsvägen 15,11327,Stockholm,https://grundskola.stockholm/hitta-grundskola/grundskola/vasa-real-5-9/,N,18.0443017,59.34255339999999,2.6,POINT (18.0443017 59.34255339999999),414.7533333333334,0.6866587160542377
238,52866214,13.6,14.2,13.325,,13.708333333333334,Kommunal,Täby,Myrängsskolan,Tappvägen 3-5,18764,Täby,http://www.taby.se/Myrangsskolan,J,18.0788398,59.4653283,4.1,POINT (18.0788398 59.4653283),410.14285714285717,-1.461515514757366
239,52885189,17.758333333333336,15.666666666666666,15.85,,16.425,Kommunal,Nacka,Ektorps skola,Skogsstigen 40,13142,Nacka,http://www.ektorp.nacka.se,J,18.1967932,59.31458809999999,3.4,POINT (18.1967932 59.31458809999999),387.2571428571428,1.8019644618859942
240,52965560,19.375,15.133333333333333,14.833333333333334,,16.447222222222223,Enskild,Stockholm,Vasa International School of Stockholm,Luntmakargatan 101,11351,Stockholm,http://www.vasainternationalschoolofstockholm.com,J,18.0569129,59.34406259999999,3.6,POINT (18.0569129 59.34406259999999),411.0102564102564,1.2566484162579563
241,53075005,16.716666666666665,14.833333333333334,14.983333333333334,,15.511111111111113,Kommunal,Stockholm,Skarpnäcks skola,Kärrtorpsvägen 95,12155,Johanneshov,https://grundskola.stockholm/hitta-grundskola/grundskola/skarpnacks-skola-f-9/,J,18.1130673,59.2820084,3.0,POINT (18.1130673 59.2820084),339.73529411764713,2.0235253597523304
242,53133366,14.775,11.1,12.333333333333334,,12.736111111111112,Kommunal,Nacka,Orminge skola,Sandövägen 4,13232,Saltsjö-Boo,http://www.orminge.se,J,18.2580394,59.3303086,2.6,POINT (18.2580394 59.3303086),378.0777777777778,-1.667599876330458
